timestamp,source,sequence,q1,q2,q3,q4,q5,q6,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,q_ref6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,tcp_ref_x,tcp_ref_y,tcp_ref_z,state,error_code,trigger
1782098339.486585,eb15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000,0.000,230.000,0.000,0.000,0.000,400.000,0.000,230.000,MOVING,0.000000,0
1782098339.504369,eb15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000,0.000,230.000,0.000,0.000,0.000,400.000,0.000,230.000,MOVING,0.000000,0
1782098339.529577,eb15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000,0.000,230.000,0.000,0.000,0.000,400.000,0.000,230.000,MOVING,0.000000,0
1782098339.550628,eb15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000,0.000,230.000,0.000,0.000,0.000,400.000,0.000,230.000,MOVING,0.000000,0
1782098339.550628,eb15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000,0.000,230.000,0.000,0.000,0.000,400.000,0.000,230.000,MOVING,0.000000,0
1782098339.576080,eb15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000,0.000,230.000,0.000,0.000,0.000,400.000,0.000,230.000,MOVING,0.000000,0
1782098339.608601,eb15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000,0.000,230.000,0.000,0.000,0.000,400.000,0.000,230.000,MOVING,0.000000,0
1782098339.608601,eb15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000,0.000,230.000,0.000,0.000,0.000,400.000,0.000,230.000,MOVING,0.000000,0
1782098339.640667,eb15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000,0.000,230.000,0.000,0.000,0.000,400.000,0.000,230.000,MOVING,0.000000,0
1782098339.670090,eb15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.000,0.000,230.000,0.000,0.000,0.000,400.000,0.000,230.000,MOVING,0.000000,0
